model,problem_id,category,careful,concise,expert,explain_first,neutral,step_by_step,tutor,verify
llama-3.1-8b,arith_001,arithmetic,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
llama-3.1-8b,arith_002,arithmetic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
llama-3.1-8b,arith_003,arithmetic,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
llama-3.1-8b,arith_004,arithmetic,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
llama-3.1-8b,arith_005,arithmetic,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
llama-3.1-8b,arith_006,arithmetic,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
llama-3.1-8b,cs_001,commonsense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama-3.1-8b,cs_002,commonsense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama-3.1-8b,cs_003,commonsense,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
llama-3.1-8b,cs_004,commonsense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama-3.1-8b,cs_005,commonsense,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
llama-3.1-8b,cs_006,commonsense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama-3.1-8b,logic_001,logic,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
llama-3.1-8b,logic_002,logic,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
llama-3.1-8b,logic_003,logic,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
llama-3.1-8b,logic_004,logic,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
llama-3.1-8b,logic_005,logic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama-3.1-8b,logic_006,logic,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
llama-3.1-8b,sym_001,symbolic,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
llama-3.1-8b,sym_002,symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
llama-3.1-8b,sym_003,symbolic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
llama-3.1-8b,sym_004,symbolic,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
