model,problem_id,prompt_style,answer_changed_from_baseline,category
llama-3.1-8b,arith_001,step_by_step,True,arithmetic
llama-3.1-8b,arith_001,careful,True,arithmetic
llama-3.1-8b,arith_001,concise,False,arithmetic
llama-3.1-8b,arith_001,tutor,True,arithmetic
llama-3.1-8b,arith_001,expert,True,arithmetic
llama-3.1-8b,arith_001,verify,False,arithmetic
llama-3.1-8b,arith_001,explain_first,True,arithmetic
llama-3.1-8b,arith_002,step_by_step,False,arithmetic
llama-3.1-8b,arith_002,careful,False,arithmetic
llama-3.1-8b,arith_002,concise,False,arithmetic
llama-3.1-8b,arith_002,tutor,False,arithmetic
llama-3.1-8b,arith_002,expert,False,arithmetic
llama-3.1-8b,arith_002,verify,False,arithmetic
llama-3.1-8b,arith_002,explain_first,False,arithmetic
llama-3.1-8b,arith_003,step_by_step,True,arithmetic
llama-3.1-8b,arith_003,careful,True,arithmetic
llama-3.1-8b,arith_003,concise,False,arithmetic
llama-3.1-8b,arith_003,tutor,True,arithmetic
llama-3.1-8b,arith_003,expert,True,arithmetic
llama-3.1-8b,arith_003,verify,True,arithmetic
llama-3.1-8b,arith_003,explain_first,True,arithmetic
llama-3.1-8b,arith_004,step_by_step,False,arithmetic
llama-3.1-8b,arith_004,careful,True,arithmetic
llama-3.1-8b,arith_004,concise,True,arithmetic
llama-3.1-8b,arith_004,tutor,False,arithmetic
llama-3.1-8b,arith_004,expert,False,arithmetic
llama-3.1-8b,arith_004,verify,False,arithmetic
llama-3.1-8b,arith_004,explain_first,False,arithmetic
llama-3.1-8b,arith_005,step_by_step,True,arithmetic
llama-3.1-8b,arith_005,careful,False,arithmetic
llama-3.1-8b,arith_005,concise,False,arithmetic
llama-3.1-8b,arith_005,tutor,False,arithmetic
llama-3.1-8b,arith_005,expert,False,arithmetic
llama-3.1-8b,arith_005,verify,True,arithmetic
llama-3.1-8b,arith_005,explain_first,True,arithmetic
llama-3.1-8b,arith_006,step_by_step,False,arithmetic
llama-3.1-8b,arith_006,careful,False,arithmetic
llama-3.1-8b,arith_006,concise,False,arithmetic
llama-3.1-8b,arith_006,tutor,True,arithmetic
llama-3.1-8b,arith_006,expert,True,arithmetic
llama-3.1-8b,arith_006,verify,True,arithmetic
llama-3.1-8b,arith_006,explain_first,False,arithmetic
llama-3.1-8b,cs_001,step_by_step,True,commonsense
llama-3.1-8b,cs_001,careful,True,commonsense
llama-3.1-8b,cs_001,concise,True,commonsense
llama-3.1-8b,cs_001,tutor,True,commonsense
llama-3.1-8b,cs_001,expert,True,commonsense
llama-3.1-8b,cs_001,verify,True,commonsense
llama-3.1-8b,cs_001,explain_first,True,commonsense
llama-3.1-8b,cs_002,step_by_step,True,commonsense
llama-3.1-8b,cs_002,careful,True,commonsense
llama-3.1-8b,cs_002,concise,True,commonsense
llama-3.1-8b,cs_002,tutor,True,commonsense
llama-3.1-8b,cs_002,expert,True,commonsense
llama-3.1-8b,cs_002,verify,True,commonsense
llama-3.1-8b,cs_002,explain_first,True,commonsense
llama-3.1-8b,cs_003,step_by_step,True,commonsense
llama-3.1-8b,cs_003,careful,False,commonsense
llama-3.1-8b,cs_003,concise,False,commonsense
llama-3.1-8b,cs_003,tutor,True,commonsense
llama-3.1-8b,cs_003,expert,False,commonsense
llama-3.1-8b,cs_003,verify,False,commonsense
llama-3.1-8b,cs_003,explain_first,True,commonsense
llama-3.1-8b,cs_004,step_by_step,True,commonsense
llama-3.1-8b,cs_004,careful,True,commonsense
llama-3.1-8b,cs_004,concise,True,commonsense
llama-3.1-8b,cs_004,tutor,True,commonsense
llama-3.1-8b,cs_004,expert,True,commonsense
llama-3.1-8b,cs_004,verify,True,commonsense
llama-3.1-8b,cs_004,explain_first,True,commonsense
llama-3.1-8b,cs_005,step_by_step,True,commonsense
llama-3.1-8b,cs_005,careful,True,commonsense
llama-3.1-8b,cs_005,concise,True,commonsense
llama-3.1-8b,cs_005,tutor,True,commonsense
llama-3.1-8b,cs_005,expert,True,commonsense
llama-3.1-8b,cs_005,verify,True,commonsense
llama-3.1-8b,cs_005,explain_first,True,commonsense
llama-3.1-8b,cs_006,step_by_step,True,commonsense
llama-3.1-8b,cs_006,careful,True,commonsense
llama-3.1-8b,cs_006,concise,True,commonsense
llama-3.1-8b,cs_006,tutor,True,commonsense
llama-3.1-8b,cs_006,expert,True,commonsense
llama-3.1-8b,cs_006,verify,True,commonsense
llama-3.1-8b,cs_006,explain_first,True,commonsense
llama-3.1-8b,logic_001,step_by_step,False,logic
llama-3.1-8b,logic_001,careful,False,logic
llama-3.1-8b,logic_001,concise,True,logic
llama-3.1-8b,logic_001,tutor,False,logic
llama-3.1-8b,logic_001,expert,False,logic
llama-3.1-8b,logic_001,verify,True,logic
llama-3.1-8b,logic_001,explain_first,True,logic
llama-3.1-8b,logic_002,step_by_step,True,logic
llama-3.1-8b,logic_002,careful,False,logic
llama-3.1-8b,logic_002,concise,True,logic
llama-3.1-8b,logic_002,tutor,True,logic
llama-3.1-8b,logic_002,expert,True,logic
llama-3.1-8b,logic_002,verify,True,logic
llama-3.1-8b,logic_002,explain_first,True,logic
llama-3.1-8b,logic_003,step_by_step,True,logic
llama-3.1-8b,logic_003,careful,True,logic
llama-3.1-8b,logic_003,concise,True,logic
llama-3.1-8b,logic_003,tutor,True,logic
llama-3.1-8b,logic_003,expert,True,logic
llama-3.1-8b,logic_003,verify,True,logic
llama-3.1-8b,logic_003,explain_first,True,logic
llama-3.1-8b,logic_004,step_by_step,True,logic
llama-3.1-8b,logic_004,careful,True,logic
llama-3.1-8b,logic_004,concise,True,logic
llama-3.1-8b,logic_004,tutor,True,logic
llama-3.1-8b,logic_004,expert,True,logic
llama-3.1-8b,logic_004,verify,True,logic
llama-3.1-8b,logic_004,explain_first,True,logic
llama-3.1-8b,logic_005,step_by_step,True,logic
llama-3.1-8b,logic_005,careful,True,logic
llama-3.1-8b,logic_005,concise,True,logic
llama-3.1-8b,logic_005,tutor,True,logic
llama-3.1-8b,logic_005,expert,True,logic
llama-3.1-8b,logic_005,verify,True,logic
llama-3.1-8b,logic_005,explain_first,True,logic
llama-3.1-8b,logic_006,step_by_step,True,logic
llama-3.1-8b,logic_006,careful,True,logic
llama-3.1-8b,logic_006,concise,False,logic
llama-3.1-8b,logic_006,tutor,False,logic
llama-3.1-8b,logic_006,expert,True,logic
llama-3.1-8b,logic_006,verify,False,logic
llama-3.1-8b,logic_006,explain_first,False,logic
llama-3.1-8b,sym_001,step_by_step,False,symbolic
llama-3.1-8b,sym_001,careful,False,symbolic
llama-3.1-8b,sym_001,concise,True,symbolic
llama-3.1-8b,sym_001,tutor,False,symbolic
llama-3.1-8b,sym_001,expert,False,symbolic
llama-3.1-8b,sym_001,verify,False,symbolic
llama-3.1-8b,sym_001,explain_first,False,symbolic
llama-3.1-8b,sym_002,step_by_step,False,symbolic
llama-3.1-8b,sym_002,careful,False,symbolic
llama-3.1-8b,sym_002,concise,False,symbolic
llama-3.1-8b,sym_002,tutor,False,symbolic
llama-3.1-8b,sym_002,expert,False,symbolic
llama-3.1-8b,sym_002,verify,False,symbolic
llama-3.1-8b,sym_002,explain_first,False,symbolic
llama-3.1-8b,sym_003,step_by_step,False,symbolic
llama-3.1-8b,sym_003,careful,False,symbolic
llama-3.1-8b,sym_003,concise,False,symbolic
llama-3.1-8b,sym_003,tutor,False,symbolic
llama-3.1-8b,sym_003,expert,False,symbolic
llama-3.1-8b,sym_003,verify,False,symbolic
llama-3.1-8b,sym_003,explain_first,False,symbolic
llama-3.1-8b,sym_004,step_by_step,True,symbolic
llama-3.1-8b,sym_004,careful,False,symbolic
llama-3.1-8b,sym_004,concise,True,symbolic
llama-3.1-8b,sym_004,tutor,False,symbolic
llama-3.1-8b,sym_004,expert,False,symbolic
llama-3.1-8b,sym_004,verify,False,symbolic
llama-3.1-8b,sym_004,explain_first,False,symbolic
llama-3.1-8b,sym_005,step_by_step,True,symbolic
llama-3.1-8b,sym_005,careful,False,symbolic
llama-3.1-8b,sym_005,concise,False,symbolic
llama-3.1-8b,sym_005,tutor,False,symbolic
llama-3.1-8b,sym_005,expert,True,symbolic
llama-3.1-8b,sym_005,verify,False,symbolic
llama-3.1-8b,sym_005,explain_first,False,symbolic
llama-3.1-8b,sym_006,step_by_step,True,symbolic
llama-3.1-8b,sym_006,careful,True,symbolic
llama-3.1-8b,sym_006,concise,True,symbolic
llama-3.1-8b,sym_006,tutor,True,symbolic
llama-3.1-8b,sym_006,expert,True,symbolic
llama-3.1-8b,sym_006,verify,True,symbolic
llama-3.1-8b,sym_006,explain_first,True,symbolic
llama-3.1-8b,trick_001,step_by_step,False,trick
llama-3.1-8b,trick_001,careful,True,trick
llama-3.1-8b,trick_001,concise,False,trick
llama-3.1-8b,trick_001,tutor,False,trick
llama-3.1-8b,trick_001,expert,False,trick
llama-3.1-8b,trick_001,verify,False,trick
llama-3.1-8b,trick_001,explain_first,False,trick
llama-3.1-8b,trick_002,step_by_step,True,trick
llama-3.1-8b,trick_002,careful,True,trick
llama-3.1-8b,trick_002,concise,True,trick
llama-3.1-8b,trick_002,tutor,True,trick
llama-3.1-8b,trick_002,expert,True,trick
llama-3.1-8b,trick_002,verify,True,trick
llama-3.1-8b,trick_002,explain_first,True,trick
llama-3.1-8b,trick_003,step_by_step,True,trick
llama-3.1-8b,trick_003,careful,True,trick
llama-3.1-8b,trick_003,concise,True,trick
llama-3.1-8b,trick_003,tutor,True,trick
llama-3.1-8b,trick_003,expert,True,trick
llama-3.1-8b,trick_003,verify,True,trick
llama-3.1-8b,trick_003,explain_first,True,trick
