model,problem_id,category,difficulty,n_styles,answer_consistency,fragility,accuracy_mean,n_unique_answers,explanation_similarity
llama-3.1-8b,arith_001,arithmetic,easy,8,0.625,0.375,0.625,2,0.2549623490242347
llama-3.1-8b,arith_002,arithmetic,medium,8,1.0,0.0,1.0,1,0.5617785827897953
llama-3.1-8b,arith_003,arithmetic,easy,8,0.75,0.25,0.25,2,0.33693654139949514
llama-3.1-8b,arith_004,arithmetic,easy,8,0.75,0.25,0.75,2,0.29835128442801656
llama-3.1-8b,arith_005,arithmetic,medium,8,0.625,0.375,0.625,4,0.43230359842744875
llama-3.1-8b,arith_006,arithmetic,medium,8,0.625,0.375,0.625,2,0.6173235513982792
llama-3.1-8b,cs_001,commonsense,easy,8,0.125,0.875,0.0,8,0.13307098752153718
llama-3.1-8b,cs_002,commonsense,easy,8,0.125,0.875,0.0,8,0.1510790793753691
llama-3.1-8b,cs_003,commonsense,easy,8,0.625,0.375,0.625,4,0.1845057743335414
llama-3.1-8b,cs_004,commonsense,easy,8,0.125,0.875,0.0,8,0.16967232570300259
llama-3.1-8b,cs_005,commonsense,easy,8,0.125,0.875,0.125,8,0.39015050638691645
llama-3.1-8b,cs_006,commonsense,easy,8,0.125,0.875,0.0,8,0.17672569396729004
llama-3.1-8b,logic_001,logic,easy,8,0.625,0.375,0.625,4,0.37337312283403923
llama-3.1-8b,logic_002,logic,medium,8,0.25,0.75,0.25,6,0.38147091867600036
llama-3.1-8b,logic_003,logic,medium,8,0.625,0.375,0.625,4,0.2450947045315294
llama-3.1-8b,logic_004,logic,medium,8,0.875,0.125,0.875,2,0.5410714285714285
llama-3.1-8b,logic_005,logic,easy,8,0.125,0.875,0.0,8,0.28929261206602985
llama-3.1-8b,logic_006,logic,medium,8,0.625,0.375,0.625,3,0.34803728763288727
llama-3.1-8b,sym_001,symbolic,easy,8,0.875,0.125,0.875,2,0.2687612198109774
llama-3.1-8b,sym_002,symbolic,easy,8,1.0,0.0,1.0,1,0.2819741649925166
llama-3.1-8b,sym_003,symbolic,easy,8,1.0,0.0,1.0,1,0.28379440079072255
llama-3.1-8b,sym_004,symbolic,easy,8,0.75,0.25,0.75,2,0.6281681437714701
llama-3.1-8b,sym_005,symbolic,easy,8,0.75,0.25,0.75,2,0.1533171340392616
llama-3.1-8b,sym_006,symbolic,easy,8,0.125,0.875,0.0,8,0.23772206634048745
llama-3.1-8b,trick_001,trick,hard,8,0.875,0.125,0.875,2,0.4012811477460457
llama-3.1-8b,trick_002,trick,medium,8,0.125,0.875,0.125,8,0.15389551002920904
llama-3.1-8b,trick_003,trick,medium,8,0.25,0.75,0.0,7,0.15505682547377714
llama-3.1-8b,trick_004,trick,medium,8,0.875,0.125,0.125,2,0.30876542477456104
llama-3.1-8b,trick_005,trick,hard,8,0.5,0.5,0.125,4,0.2764147504549944
llama-3.1-8b,trick_006,trick,easy,8,0.125,0.875,0.0,8,0.1914662261658435
qwen2.5-7b,arith_001,arithmetic,easy,8,1.0,0.0,1.0,1,0.5880634353638456
qwen2.5-7b,arith_002,arithmetic,medium,8,1.0,0.0,1.0,1,0.5795853675427372
qwen2.5-7b,arith_003,arithmetic,easy,8,0.875,0.125,0.875,2,0.5385871742699276
qwen2.5-7b,arith_004,arithmetic,easy,8,1.0,0.0,1.0,1,0.5478344106790599
qwen2.5-7b,arith_005,arithmetic,medium,8,0.875,0.125,0.875,2,0.505390897770373
qwen2.5-7b,arith_006,arithmetic,medium,8,1.0,0.0,1.0,1,0.5592055886293711
qwen2.5-7b,cs_001,commonsense,easy,8,0.375,0.625,0.0,5,0.2334334091213603
qwen2.5-7b,cs_002,commonsense,easy,8,1.0,0.0,0.0,1,0.2646629520069721
qwen2.5-7b,cs_003,commonsense,easy,8,0.75,0.25,0.75,3,0.33746823736068865
qwen2.5-7b,cs_004,commonsense,easy,8,0.375,0.625,0.0,6,0.2055674620982406
qwen2.5-7b,cs_005,commonsense,easy,8,0.875,0.125,0.875,2,0.22423598119891983
qwen2.5-7b,cs_006,commonsense,easy,8,0.125,0.875,0.0,8,0.3107756730300613
qwen2.5-7b,logic_001,logic,easy,8,0.75,0.25,0.75,3,0.41026555133391174
qwen2.5-7b,logic_002,logic,medium,8,0.5,0.5,0.5,2,0.42825153249240405
qwen2.5-7b,logic_003,logic,medium,8,0.75,0.25,0.75,2,0.33913212176528135
qwen2.5-7b,logic_004,logic,medium,8,1.0,0.0,1.0,1,0.34957538490079937
qwen2.5-7b,logic_005,logic,easy,8,1.0,0.0,1.0,1,0.4612453190033171
qwen2.5-7b,logic_006,logic,medium,8,0.5,0.5,0.5,3,0.46245489898978975
qwen2.5-7b,sym_001,symbolic,easy,8,0.875,0.125,0.875,2,0.3036194764296346
qwen2.5-7b,sym_002,symbolic,easy,8,1.0,0.0,1.0,1,0.4679349306541665
qwen2.5-7b,sym_003,symbolic,easy,8,1.0,0.0,1.0,1,0.5449837046238359
qwen2.5-7b,sym_004,symbolic,easy,8,1.0,0.0,1.0,1,0.5299844327586359
qwen2.5-7b,sym_005,symbolic,easy,8,0.875,0.125,0.875,2,0.4991248164471677
qwen2.5-7b,sym_006,symbolic,easy,8,0.375,0.625,0.0,4,0.27360720685476936
qwen2.5-7b,trick_001,trick,hard,8,1.0,0.0,1.0,1,0.5003800759836101
qwen2.5-7b,trick_002,trick,medium,8,1.0,0.0,1.0,1,0.27823419124890003
qwen2.5-7b,trick_003,trick,medium,8,0.625,0.375,0.0,3,0.2935445049125621
qwen2.5-7b,trick_004,trick,medium,8,1.0,0.0,1.0,1,0.3164596124501468
qwen2.5-7b,trick_005,trick,hard,8,1.0,0.0,0.0,1,0.3750861323123799
qwen2.5-7b,trick_006,trick,easy,8,0.625,0.375,0.0,4,0.18717711426713257
