model,problem_id,category,difficulty,n_styles,answer_consistency,fragility,accuracy_mean,n_unique_answers
llama-3.1-8b,arith_001,arithmetic,easy,8,0.625,0.375,0.625,2
llama-3.1-8b,arith_002,arithmetic,medium,8,1.0,0.0,1.0,1
llama-3.1-8b,arith_003,arithmetic,easy,8,0.75,0.25,0.25,2
llama-3.1-8b,arith_004,arithmetic,easy,8,0.75,0.25,0.75,2
llama-3.1-8b,arith_005,arithmetic,medium,8,0.625,0.375,0.625,4
llama-3.1-8b,arith_006,arithmetic,medium,8,0.625,0.375,0.625,2
llama-3.1-8b,cs_001,commonsense,easy,8,0.125,0.875,0.0,8
llama-3.1-8b,cs_002,commonsense,easy,8,0.125,0.875,0.0,8
llama-3.1-8b,cs_003,commonsense,easy,8,0.625,0.375,0.625,4
llama-3.1-8b,cs_004,commonsense,easy,8,0.125,0.875,0.0,8
llama-3.1-8b,cs_005,commonsense,easy,8,0.125,0.875,0.125,8
llama-3.1-8b,cs_006,commonsense,easy,8,0.125,0.875,0.0,8
llama-3.1-8b,logic_001,logic,easy,8,0.625,0.375,0.625,4
llama-3.1-8b,logic_002,logic,medium,8,0.25,0.75,0.25,6
llama-3.1-8b,logic_003,logic,medium,8,0.625,0.375,0.625,4
llama-3.1-8b,logic_004,logic,medium,8,0.875,0.125,0.875,2
llama-3.1-8b,logic_005,logic,easy,8,0.125,0.875,0.0,8
llama-3.1-8b,logic_006,logic,medium,8,0.625,0.375,0.625,3
llama-3.1-8b,sym_001,symbolic,easy,8,0.875,0.125,0.875,2
llama-3.1-8b,sym_002,symbolic,easy,8,1.0,0.0,1.0,1
llama-3.1-8b,sym_003,symbolic,easy,8,1.0,0.0,1.0,1
llama-3.1-8b,sym_004,symbolic,easy,8,0.75,0.25,0.75,2
llama-3.1-8b,sym_005,symbolic,easy,8,0.75,0.25,0.75,2
llama-3.1-8b,sym_006,symbolic,easy,8,0.125,0.875,0.0,8
llama-3.1-8b,trick_001,trick,hard,8,0.875,0.125,0.875,2
llama-3.1-8b,trick_002,trick,medium,8,0.125,0.875,0.125,8
llama-3.1-8b,trick_003,trick,medium,8,0.25,0.75,0.0,7
llama-3.1-8b,trick_004,trick,medium,8,0.875,0.125,0.125,2
llama-3.1-8b,trick_005,trick,hard,8,0.5,0.5,0.125,4
llama-3.1-8b,trick_006,trick,easy,8,0.125,0.875,0.0,8
qwen2.5-7b,arith_001,arithmetic,easy,8,1.0,0.0,1.0,1
qwen2.5-7b,arith_002,arithmetic,medium,8,1.0,0.0,1.0,1
qwen2.5-7b,arith_003,arithmetic,easy,8,0.875,0.125,0.875,2
qwen2.5-7b,arith_004,arithmetic,easy,8,1.0,0.0,1.0,1
qwen2.5-7b,arith_005,arithmetic,medium,8,0.875,0.125,0.875,2
qwen2.5-7b,arith_006,arithmetic,medium,8,1.0,0.0,1.0,1
qwen2.5-7b,cs_001,commonsense,easy,8,0.375,0.625,0.0,5
qwen2.5-7b,cs_002,commonsense,easy,8,1.0,0.0,0.0,1
qwen2.5-7b,cs_003,commonsense,easy,8,0.75,0.25,0.75,3
qwen2.5-7b,cs_004,commonsense,easy,8,0.375,0.625,0.0,6
qwen2.5-7b,cs_005,commonsense,easy,8,0.875,0.125,0.875,2
qwen2.5-7b,cs_006,commonsense,easy,8,0.125,0.875,0.0,8
qwen2.5-7b,logic_001,logic,easy,8,0.75,0.25,0.75,3
qwen2.5-7b,logic_002,logic,medium,8,0.5,0.5,0.5,2
qwen2.5-7b,logic_003,logic,medium,8,0.75,0.25,0.75,2
qwen2.5-7b,logic_004,logic,medium,8,1.0,0.0,1.0,1
qwen2.5-7b,logic_005,logic,easy,8,1.0,0.0,1.0,1
qwen2.5-7b,logic_006,logic,medium,8,0.5,0.5,0.5,3
qwen2.5-7b,sym_001,symbolic,easy,8,0.875,0.125,0.875,2
qwen2.5-7b,sym_002,symbolic,easy,8,1.0,0.0,1.0,1
qwen2.5-7b,sym_003,symbolic,easy,8,1.0,0.0,1.0,1
qwen2.5-7b,sym_004,symbolic,easy,8,1.0,0.0,1.0,1
qwen2.5-7b,sym_005,symbolic,easy,8,0.875,0.125,0.875,2
qwen2.5-7b,sym_006,symbolic,easy,8,0.375,0.625,0.0,4
qwen2.5-7b,trick_001,trick,hard,8,1.0,0.0,1.0,1
qwen2.5-7b,trick_002,trick,medium,8,1.0,0.0,1.0,1
qwen2.5-7b,trick_003,trick,medium,8,0.625,0.375,0.0,3
qwen2.5-7b,trick_004,trick,medium,8,1.0,0.0,1.0,1
qwen2.5-7b,trick_005,trick,hard,8,1.0,0.0,0.0,1
qwen2.5-7b,trick_006,trick,easy,8,0.625,0.375,0.0,4
