model,category,prompt_style,accuracy,n
llama-3.1-8b,arithmetic,careful,0.6666666666666666,6
llama-3.1-8b,arithmetic,concise,0.6666666666666666,6
llama-3.1-8b,arithmetic,expert,0.6666666666666666,6
llama-3.1-8b,arithmetic,explain_first,0.6666666666666666,6
llama-3.1-8b,arithmetic,neutral,0.8333333333333334,6
llama-3.1-8b,arithmetic,step_by_step,0.6666666666666666,6
llama-3.1-8b,arithmetic,tutor,0.6666666666666666,6
llama-3.1-8b,arithmetic,verify,0.3333333333333333,6
llama-3.1-8b,commonsense,careful,0.16666666666666666,6
llama-3.1-8b,commonsense,concise,0.16666666666666666,6
llama-3.1-8b,commonsense,expert,0.16666666666666666,6
llama-3.1-8b,commonsense,explain_first,0.0,6
llama-3.1-8b,commonsense,neutral,0.16666666666666666,6
llama-3.1-8b,commonsense,step_by_step,0.16666666666666666,6
llama-3.1-8b,commonsense,tutor,0.0,6
llama-3.1-8b,commonsense,verify,0.16666666666666666,6
llama-3.1-8b,logic,careful,0.6666666666666666,6
llama-3.1-8b,logic,concise,0.3333333333333333,6
llama-3.1-8b,logic,expert,0.5,6
llama-3.1-8b,logic,explain_first,0.5,6
llama-3.1-8b,logic,neutral,0.5,6
llama-3.1-8b,logic,step_by_step,0.5,6
llama-3.1-8b,logic,tutor,0.6666666666666666,6
llama-3.1-8b,logic,verify,0.3333333333333333,6
llama-3.1-8b,symbolic,careful,0.8333333333333334,6
llama-3.1-8b,symbolic,concise,0.5,6
llama-3.1-8b,symbolic,expert,0.6666666666666666,6
llama-3.1-8b,symbolic,explain_first,0.8333333333333334,6
llama-3.1-8b,symbolic,neutral,0.8333333333333334,6
llama-3.1-8b,symbolic,step_by_step,0.5,6
llama-3.1-8b,symbolic,tutor,0.8333333333333334,6
llama-3.1-8b,symbolic,verify,0.8333333333333334,6
llama-3.1-8b,trick,careful,0.0,6
llama-3.1-8b,trick,concise,0.16666666666666666,6
llama-3.1-8b,trick,expert,0.3333333333333333,6
llama-3.1-8b,trick,explain_first,0.16666666666666666,6
llama-3.1-8b,trick,neutral,0.16666666666666666,6
llama-3.1-8b,trick,step_by_step,0.16666666666666666,6
llama-3.1-8b,trick,tutor,0.3333333333333333,6
llama-3.1-8b,trick,verify,0.3333333333333333,6
qwen2.5-7b,arithmetic,careful,1.0,6
qwen2.5-7b,arithmetic,concise,1.0,6
qwen2.5-7b,arithmetic,expert,1.0,6
qwen2.5-7b,arithmetic,explain_first,1.0,6
qwen2.5-7b,arithmetic,neutral,1.0,6
qwen2.5-7b,arithmetic,step_by_step,0.8333333333333334,6
qwen2.5-7b,arithmetic,tutor,0.8333333333333334,6
qwen2.5-7b,arithmetic,verify,1.0,6
qwen2.5-7b,commonsense,careful,0.3333333333333333,6
qwen2.5-7b,commonsense,concise,0.3333333333333333,6
qwen2.5-7b,commonsense,expert,0.3333333333333333,6
qwen2.5-7b,commonsense,explain_first,0.16666666666666666,6
qwen2.5-7b,commonsense,neutral,0.3333333333333333,6
qwen2.5-7b,commonsense,step_by_step,0.3333333333333333,6
qwen2.5-7b,commonsense,tutor,0.0,6
qwen2.5-7b,commonsense,verify,0.3333333333333333,6
qwen2.5-7b,logic,careful,1.0,6
qwen2.5-7b,logic,concise,0.6666666666666666,6
qwen2.5-7b,logic,expert,0.5,6
qwen2.5-7b,logic,explain_first,0.6666666666666666,6
qwen2.5-7b,logic,neutral,0.6666666666666666,6
qwen2.5-7b,logic,step_by_step,0.8333333333333334,6
qwen2.5-7b,logic,tutor,0.8333333333333334,6
qwen2.5-7b,logic,verify,0.8333333333333334,6
qwen2.5-7b,symbolic,careful,0.8333333333333334,6
qwen2.5-7b,symbolic,concise,0.8333333333333334,6
qwen2.5-7b,symbolic,expert,0.8333333333333334,6
qwen2.5-7b,symbolic,explain_first,0.8333333333333334,6
qwen2.5-7b,symbolic,neutral,0.6666666666666666,6
qwen2.5-7b,symbolic,step_by_step,0.6666666666666666,6
qwen2.5-7b,symbolic,tutor,0.8333333333333334,6
qwen2.5-7b,symbolic,verify,0.8333333333333334,6
qwen2.5-7b,trick,careful,0.5,6
qwen2.5-7b,trick,concise,0.5,6
qwen2.5-7b,trick,expert,0.5,6
qwen2.5-7b,trick,explain_first,0.5,6
qwen2.5-7b,trick,neutral,0.5,6
qwen2.5-7b,trick,step_by_step,0.5,6
qwen2.5-7b,trick,tutor,0.5,6
qwen2.5-7b,trick,verify,0.5,6
