model,category,mean_fragility,mean_consistency,mean_explanation_sim
llama-3.1-8b,arithmetic,0.2708333333333333,0.7291666666666666,0.41694265124454494
llama-3.1-8b,commonsense,0.7916666666666666,0.20833333333333334,0.20086739454794278
llama-3.1-8b,logic,0.4791666666666667,0.5208333333333334,0.3630566790519858
llama-3.1-8b,symbolic,0.25,0.75,0.30895618829090593
llama-3.1-8b,trick,0.5416666666666666,0.4583333333333333,0.24781331410740515
qwen2.5-7b,arithmetic,0.041666666666666664,0.9583333333333334,0.5531111457092192
qwen2.5-7b,commonsense,0.4166666666666667,0.5833333333333334,0.26269061913604047
qwen2.5-7b,logic,0.25,0.75,0.40848746808091724
qwen2.5-7b,symbolic,0.14583333333333334,0.8541666666666666,0.43654242796136833
qwen2.5-7b,trick,0.125,0.875,0.3251469385291219
